,cards,free,games,goals,name,points,position,team,value
221,3.0,True,23.0,3.0,Ceballos,98.0,Midfielder,Real Madrid,"970,000"
222,10.0,True,30.0,2.0,Jason,113.0,Defender,Valencia,"950,000"
223,,True,,,Nacho Vidal,,Defender,Osasuna,"950,000"
224,4.0,True,25.0,1.0,Santiago Arias,100.0,Defender,Atlético,"930,000"
225,6.0,False,31.0,1.0,Lucas Vázquez,104.0,Midfielder,Real Madrid,"920,000"
226,1.0,True,8.0,1.0,Waldo Rubio,39.0,Forward,Valladolid,"920,000"
227,,True,,,Oier Sanjurjo,,Defender,Osasuna,"910,000"
228,0.0,True,0.0,0.0,Baba,0.0,Midfielder,Mallorca,"910,000"
229,8.0,True,21.0,0.0,Escudero,71.0,Defender,Sevilla,"910,000"
230,1.0,True,32.0,0.0,Sergi Gómez,119.0,Defender,Sevilla,"900,000"
231,6.0,True,30.0,1.0,De Marcos,101.0,Defender,Athletic,"890,000"
232,,True,,,Rubén,,Goalkeeper,Osasuna,"890,000"
233,,True,,,Soldado,,Forward,Granada,"880,000"
234,11.0,True,25.0,0.0,Bustinza,108.0,Defender,Leganés,"870,000"
235,3.0,True,23.0,1.0,Piccini,89.0,Defender,Valencia,"860,000"
236,8.0,True,36.0,3.0,Correa,114.0,Forward,Atlético,"820,000"
237,0.0,True,4.0,0.0,Nolito,8.0,Forward,Sevilla,"810,000"
238,7.0,True,21.0,1.0,Feddal,88.0,Defender,Betis,"810,000"
239,2.0,True,25.0,1.0,Héctor Moreno,99.0,Defender,Real Sociedad,"810,000"
240,2.0,True,10.0,0.0,Lucas Olaza,41.0,Defender,Celta,"810,000"
241,11.0,True,33.0,0.0,Rubén Duarte,114.0,Defender,Alavés,"800,000"
242,0.0,True,0.0,0.0,Germán Sánchez,0.0,Defender,Granada,"800,000"
243,2.0,True,27.0,2.0,Cheryshev,109.0,Midfielder,Valencia,"790,000"
244,9.0,False,25.0,0.0,Capa,82.0,Defender,Athletic,"770,000"
245,0.0,True,0.0,0.0,Martin Valjent,0.0,Defender,Mallorca,"770,000"
249,0.0,True,0.0,0.0,Quique González,0.0,Forward,Eibar,"750,000"
250,0.0,True,0.0,0.0,Alex Pozo,0.0,Forward,Sevilla,"740,000"
251,11.0,True,28.0,1.0,Diop,118.0,Midfielder,Eibar,"730,000"
252,5.0,True,18.0,0.0,Savic,62.0,Defender,Atlético,"730,000"
253,0.0,True,0.0,0.0,Alberto Moreno,0.0,Defender,Villarreal,"730,000"
254,0.0,True,0.0,0.0,Hernâni,0.0,Forward,Levante,"720,000"
255,0.0,True,0.0,0.0,Pablo Chavarria,0.0,Forward,Mallorca,"720,000"
256,3.0,True,24.0,1.0,Rubén Pardo,104.0,Midfielder,Real Sociedad,"710,000"
257,0.0,True,0.0,0.0,Gabriel Fernández,0.0,Forward,Celta,"710,000"
258,0.0,True,0.0,0.0,Marc Pedraza,0.0,Midfielder,Mallorca,"710,000"
259,0.0,True,0.0,0.0,Fernando Reges,0.0,Midfielder,Sevilla,"710,000"
260,8.0,True,27.0,1.0,Beñat,96.0,Midfielder,Athletic,"700,000"
261,17.0,False,31.0,1.0,Mario Gaspar,111.0,Defender,Villarreal,"700,000"
262,2.0,True,12.0,0.0,Diego Lainez,40.0,Forward,Betis,"690,000"
263,10.0,False,31.0,2.0,Roque Mesa,100.0,Midfielder,Sevilla,"690,000"
264,0.0,True,0.0,0.0,Brandon,0.0,Forward,Osasuna,"690,000"
265,,True,,,Clerc,,Defender,Levante,"670,000"
266,,True,,,Víctor Díaz,,Defender,Granada,"670,000"
267,1.0,True,20.0,0.0,Vitolo,69.0,Midfielder,Atlético,"660,000"
268,0.0,True,0.0,0.0,Estupiñán,0.0,Defender,Osasuna,"660,000"
269,0.0,True,0.0,0.0,Rodri,0.0,Forward,Granada,"660,000"
270,0.0,True,0.0,0.0,Joan Sastre,0.0,Defender,Mallorca,"660,000"
271,,True,,,David García Zubiría,,Defender,Osasuna,"640,000"
272,,True,,,Camarasa,,Midfielder,Betis,"640,000"
273,4.0,True,20.0,2.0,Aduriz,55.0,Forward,Athletic,"630,000"
274,4.0,True,24.0,1.0,Sidnei,99.0,Defender,Betis,"630,000"
275,1.0,True,17.0,3.0,Marc Cardona,61.0,Forward,Osasuna,"630,000"
276,2.0,False,17.0,2.0,Aleña,72.0,Midfielder,Barcelona,"620,000"
277,6.0,True,34.0,1.0,Manu García,119.0,Midfielder,Alavés,"610,000"
278,4.0,False,32.0,1.0,Portillo,101.0,Midfielder,Getafe,"600,000"
279,2.0,True,34.0,0.0,Neto,151.0,Goalkeeper,Barcelona,"600,000"
280,0.0,True,5.0,0.0,Joel Robles,23.0,Goalkeeper,Betis,"600,000"
281,0.0,True,0.0,0.0,Jorge De Frutos,0.0,Forward,Valladolid,"600,000"
282,0.0,True,0.0,0.0,Fede San Emeterio,0.0,Midfielder,Valladolid,"590,000"
283,5.0,True,27.0,0.0,Martín Aguirregabiria,79.0,Defender,Alavés,"580,000"
284,,True,,,Sergio Rico,,Goalkeeper,Sevilla,"570,000"
285,2.0,True,13.0,3.0,Mariano,48.0,Forward,Real Madrid,"560,000"
286,,True,,,Juan Muñoz,,Forward,Leganés,"540,000"
287,,True,,,Joselu,,Forward,Alavés,"530,000"
288,4.0,True,20.0,1.0,Boudebouz,73.0,Midfielder,Betis,"530,000"
289,1.0,True,10.0,0.0,Keylor Navas,49.0,Goalkeeper,Real Madrid,"520,000"
290,5.0,True,26.0,0.0,Kjaer,105.0,Defender,Sevilla,"520,000"
291,5.0,True,23.0,0.0,Javi López,85.0,Defender,Espanyol,"490,000"
292,2.0,False,14.0,0.0,Odriozola,60.0,Defender,Real Madrid,"480,000"
293,8.0,True,20.0,0.0,Nacho,67.0,Defender,Real Madrid,"470,000"
294,0.0,True,0.0,0.0,Álvaro Tejero,0.0,Defender,Eibar,"470,000"
295,0.0,False,9.0,1.0,Barrenetxea,37.0,Midfielder,Real Sociedad,"460,000"
296,,True,,,Vrsaljko,,Defender,Atlético,"460,000"
297,,True,,,Unai García,,Defender,Osasuna,"450,000"
298,,True,,,Azeez,,Midfielder,Granada,"450,000"
299,5.0,True,21.0,0.0,David López,93.0,Defender,Espanyol,"450,000"
300,5.0,True,24.0,2.0,Ferrán Torres,90.0,Midfielder,Valencia,"450,000"
301,0.0,True,0.0,0.0,Álex López,0.0,Forward,Mallorca,"450,000"
302,0.0,True,9.0,0.0,Álex Alegría,19.0,Forward,Mallorca,"440,000"
303,3.0,True,36.0,2.0,Moi Gómez,149.0,Midfielder,Villarreal,"440,000"
304,3.0,False,30.0,1.0,Fran Beltrán,93.0,Midfielder,Celta,"440,000"
305,0.0,True,11.0,0.0,Aihen Muñoz,42.0,Defender,Real Sociedad,"440,000"
306,0.0,True,0.0,0.0,Kike Barja,0.0,Forward,Osasuna,"440,000"
307,,True,,,Edu Expósito,,Midfielder,Eibar,"440,000"
308,,True,,,Álex Martínez,,Defender,Granada,"430,000"
309,0.0,True,0.0,0.0,Aridane Hernández,0.0,Defender,Osasuna,"420,000"
310,0.0,True,0.0,0.0,Remiro,0.0,Goalkeeper,Real Sociedad,"420,000"
311,,True,,,Xisco,,Forward,Osasuna,"420,000"
312,0.0,True,0.0,0.0,Jeando Fuchs,0.0,Midfielder,Alavés,"420,000"
313,,True,,,Nemanja Gudelj,,Midfielder,Sevilla,"420,000"
314,4.0,True,21.0,0.0,Ramis,87.0,Defender,Eibar,"410,000"
315,0.0,True,12.0,2.0,Leo Suárez,46.0,Midfielder,Villarreal,"410,000"
316,,True,,,Quini,,Defender,Granada,"400,000"
317,0.0,True,0.0,0.0,Iñigo Pérez,0.0,Midfielder,Osasuna,"400,000"
318,0.0,True,0.0,0.0,Ramón Mierez,0.0,Forward,Alavés,"400,000"
319,4.0,False,16.0,0.0,Fede Valverde,54.0,Midfielder,Real Madrid,"390,000"
320,11.0,True,27.0,0.0,Dídac Vilà,106.0,Defender,Espanyol,"390,000"
321,,True,,,Yassin Fekir,,Forward,Betis,"390,000"
